Country,Year,Life expectancy
Albania,2015,77.1
Albania,2014,76.8
Albania,2013,76.5
Albania,2012,76.2
Albania,2011,75.8
Albania,2010,75.5
Algeria,2015,75.8
Algeria,2014,75.7
Algeria,2013,75.4
Algeria,2012,75.1
Algeria,2011,74.8
Algeria,2010,74.4
Bahamas,2015,76.7
Bahamas,2014,76.4
Bahamas,2013,76.0
Bahamas,2012,75.8
Bahamas,2011,75.5
Bahamas,2010,75.3
Bolivia (Plurinational State of),2015,68.2
Bolivia (Plurinational State of),2014,68.0
Bolivia (Plurinational State of),2013,67.7
Bolivia (Plurinational State of),2012,67.4
Bolivia (Plurinational State of),2011,67.1
Bolivia (Plurinational State of),2010,66.3
Bosnia and Herzegovina,2015,78.2
Bosnia and Herzegovina,2014,78.1
Bosnia and Herzegovina,2013,77.9
Bosnia and Herzegovina,2012,77.5
Bosnia and Herzegovina,2011,77.2
Bosnia and Herzegovina,2010,76.3
Colombia,2015,75.6
Colombia,2014,74.3
Colombia,2013,75.1
Colombia,2012,74.8
Colombia,2011,74.5
Colombia,2010,74.3
Croatia,2015,78.7
Croatia,2014,78.2
Croatia,2013,77.8
Croatia,2012,77.7
Croatia,2011,77.4
Croatia,2010,77.2
Denmark,2015,81.0
Denmark,2014,80.6
Denmark,2013,80.4
Denmark,2012,79.9
Denmark,2011,79.3
Denmark,2010,78.2
Ethiopia,2015,59.9
Ethiopia,2014,59.7
Ethiopia,2013,58.8
Ethiopia,2012,58.2
Ethiopia,2011,57.9
Ethiopia,2010,58.2
Gambia,2015,60.9
Gambia,2014,60.7
Gambia,2013,60.4
Gambia,2012,60.2
Gambia,2011,59.8
Gambia,2010,59.2
Georgia,2015,76.2
Georgia,2014,75.9
Georgia,2013,75.7
Georgia,2012,75.5
Georgia,2011,75.1
Georgia,2010,74.7
Ghana,2015,63.2
Ghana,2014,63.1
Ghana,2013,62.4
Ghana,2012,62.5
Ghana,2011,61.8
Ghana,2010,61.6
Guinea,2015,58.2
Guinea,2014,58.0
Guinea,2013,57.6
Guinea,2012,57.4
Guinea,2011,57.0
Guinea,2010,56.5
Guinea-Bissau,2015,57.6
Guinea-Bissau,2014,57.4
Guinea-Bissau,2013,56.8
Guinea-Bissau,2012,56.2
Guinea-Bissau,2011,55.8
Guinea-Bissau,2010,55.4
Haiti,2015,64.2
Haiti,2014,64.1
Haiti,2013,63.9
Haiti,2012,63.5
Haiti,2011,62.8
Haiti,2010,62.3
Hungary,2015,76.1
Hungary,2014,75.9
Hungary,2013,75.4
Hungary,2012,75.1
Hungary,2011,74.9
Hungary,2010,74.6
Jamaica,2015,76.8
Jamaica,2014,76.5
Jamaica,2013,76.2
Jamaica,2012,76.0
Jamaica,2011,75.7
Jamaica,2010,75.5
Jordan,2015,75.1
Jordan,2014,75.0
Jordan,2013,74.7
Jordan,2012,74.3
Jordan,2011,74.2
Jordan,2010,74.0
Latvia,2015,76.3
Latvia,2014,76.1
Latvia,2013,75.4
Latvia,2012,75.1
Latvia,2011,74.9
Latvia,2010,74.9
Lebanon,2015,76.5
Lebanon,2014,76.3
Lebanon,2013,76.1
Lebanon,2012,75.8
Lebanon,2011,75.6
Lebanon,2010,75.3
Lithuania,2015,75.4
Lithuania,2014,74.8
Lithuania,2013,74.5
Lithuania,2012,74.3
Lithuania,2011,74.2
Lithuania,2010,73.9
Mali,2015,56.9
Mali,2014,56.9
Mali,2013,56.0
Mali,2012,56.4
Mali,2011,56.0
Mali,2010,55.8
Malta,2015,82.1
Malta,2014,81.7
Malta,2013,81.5
Malta,2012,81.3
Malta,2011,81.0
Malta,2010,80.4
Namibia,2015,66.5
Namibia,2014,66.4
Namibia,2013,66.1
Namibia,2012,65.5
Namibia,2011,64.6
Namibia,2010,63.5
Netherlands,2015,82.3
Netherlands,2014,82.0
Netherlands,2013,81.8
Netherlands,2012,81.4
Netherlands,2011,80.9
Netherlands,2010,80.6
Norway,2015,85.7
Norway,2014,85.6
Norway,2013,85.3
Norway,2012,85.1
Norway,2011,84.8
Norway,2010,84.5
Poland,2015,77.9
Poland,2014,77.5
Poland,2013,77.1
Poland,2012,76.8
Poland,2011,76.5
Poland,2010,76.4
Portugal,2015,81.0
Portugal,2014,80.6
Portugal,2013,80.3
Portugal,2012,80.0
Portugal,2011,79.6
Portugal,2010,79.3
Republic of Moldova,2015,70.7
Republic of Moldova,2014,69.9
Republic of Moldova,2013,69.6
Republic of Moldova,2012,69.9
Republic of Moldova,2011,69.5
Republic of Moldova,2010,69.1
Samoa,2015,77.2
Samoa,2014,77.1
Samoa,2013,76.8
Samoa,2012,76.5
Samoa,2011,75.7
Samoa,2010,75.9
Sierra Leone,2015,47.5
Sierra Leone,2014,47.4
Sierra Leone,2013,47.6
Sierra Leone,2012,47.0
Sierra Leone,2011,46.2
Sierra Leone,2010,45.7
Suriname,2015,72.0
Suriname,2014,71.6
Suriname,2013,71.3
Suriname,2012,71.1
Suriname,2011,70.8
Suriname,2010,70.8
Syrian Arab Republic,2015,75.0
Syrian Arab Republic,2014,75.2
Syrian Arab Republic,2013,75.2
Syrian Arab Republic,2012,75.2
Syrian Arab Republic,2011,74.6
Syrian Arab Republic,2010,74.7
United States of America,2015,80.3
United States of America,2014,80.1
United States of America,2013,79.8
United States of America,2012,79.6
United States of America,2011,79.4
United States of America,2010,79.1
Zambia,2015,56.1
Zambia,2014,56.5
Zambia,2013,56.1
Zambia,2012,54.9
Zambia,2011,55.0
Zambia,2010,54.0
